"simulation_id","seed","dgp","cv_method","split_id","train_n","validation_n","train_time_min","train_time_max","validation_time_min","validation_time_max","validation_contiguous","uses_future_training","h","removed_time_min","removed_time_max"
3,20263816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
3,20263816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
3,20263816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
3,20263816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
3,20263816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
3,20263816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","kfold",1,123,31,31,183,33,184,FALSE,TRUE,NA,NA,NA
4,20264816,"AR(1)","kfold",2,123,31,31,184,35,182,FALSE,TRUE,NA,NA,NA
4,20264816,"AR(1)","kfold",3,123,31,31,184,34,180,FALSE,TRUE,NA,NA,NA
4,20264816,"AR(1)","kfold",4,123,31,33,184,31,176,FALSE,TRUE,NA,NA,NA
4,20264816,"AR(1)","kfold",5,124,30,31,184,37,183,FALSE,TRUE,NA,NA,NA
4,20264816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
4,20264816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
4,20264816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
4,20264816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
4,20264816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
4,20264816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
4,20264816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
4,20264816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
4,20264816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
4,20264816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
4,20264816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","kfold",1,123,31,31,184,34,179,FALSE,TRUE,NA,NA,NA
5,20265816,"AR(1)","kfold",2,123,31,31,184,35,182,FALSE,TRUE,NA,NA,NA
5,20265816,"AR(1)","kfold",3,123,31,32,184,31,183,FALSE,TRUE,NA,NA,NA
5,20265816,"AR(1)","kfold",4,123,31,31,183,32,184,FALSE,TRUE,NA,NA,NA
5,20265816,"AR(1)","kfold",5,124,30,31,184,33,180,FALSE,TRUE,NA,NA,NA
5,20265816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
5,20265816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
5,20265816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
5,20265816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
5,20265816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
5,20265816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
5,20265816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
5,20265816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
5,20265816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
5,20265816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
5,20265816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","kfold",1,123,31,31,183,35,184,FALSE,TRUE,NA,NA,NA
6,20266816,"AR(1)","kfold",2,123,31,31,184,43,183,FALSE,TRUE,NA,NA,NA
6,20266816,"AR(1)","kfold",3,123,31,33,184,31,180,FALSE,TRUE,NA,NA,NA
6,20266816,"AR(1)","kfold",4,123,31,31,184,41,179,FALSE,TRUE,NA,NA,NA
6,20266816,"AR(1)","kfold",5,124,30,31,184,33,181,FALSE,TRUE,NA,NA,NA
6,20266816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
6,20266816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
6,20266816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
6,20266816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
6,20266816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
6,20266816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
6,20266816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
6,20266816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
6,20266816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
6,20266816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
6,20266816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","kfold",1,123,31,31,183,59,184,FALSE,TRUE,NA,NA,NA
7,20267816,"AR(1)","kfold",2,123,31,31,184,38,171,FALSE,TRUE,NA,NA,NA
7,20267816,"AR(1)","kfold",3,123,31,31,184,33,167,FALSE,TRUE,NA,NA,NA
7,20267816,"AR(1)","kfold",4,123,31,33,184,31,182,FALSE,TRUE,NA,NA,NA
7,20267816,"AR(1)","kfold",5,124,30,31,184,37,183,FALSE,TRUE,NA,NA,NA
7,20267816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
7,20267816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
7,20267816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
7,20267816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
7,20267816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
7,20267816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
7,20267816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
7,20267816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
7,20267816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
7,20267816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
7,20267816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","kfold",1,123,31,31,184,35,181,FALSE,TRUE,NA,NA,NA
8,20268816,"AR(1)","kfold",2,123,31,33,184,31,174,FALSE,TRUE,NA,NA,NA
8,20268816,"AR(1)","kfold",3,123,31,31,181,40,184,FALSE,TRUE,NA,NA,NA
8,20268816,"AR(1)","kfold",4,123,31,31,184,33,177,FALSE,TRUE,NA,NA,NA
8,20268816,"AR(1)","kfold",5,124,30,31,184,36,179,FALSE,TRUE,NA,NA,NA
8,20268816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
8,20268816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
8,20268816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
8,20268816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
8,20268816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
8,20268816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
8,20268816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
8,20268816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
8,20268816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
8,20268816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
8,20268816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","kfold",1,123,31,32,184,31,180,FALSE,TRUE,NA,NA,NA
9,20269816,"AR(1)","kfold",2,123,31,31,184,43,178,FALSE,TRUE,NA,NA,NA
9,20269816,"AR(1)","kfold",3,123,31,31,182,49,184,FALSE,TRUE,NA,NA,NA
9,20269816,"AR(1)","kfold",4,123,31,31,184,32,182,FALSE,TRUE,NA,NA,NA
9,20269816,"AR(1)","kfold",5,124,30,31,184,35,177,FALSE,TRUE,NA,NA,NA
9,20269816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
9,20269816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
9,20269816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
9,20269816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
9,20269816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
9,20269816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
9,20269816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
9,20269816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
9,20269816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
9,20269816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
9,20269816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","kfold",1,123,31,31,184,35,181,FALSE,TRUE,NA,NA,NA
10,20270816,"AR(1)","kfold",2,123,31,32,184,31,174,FALSE,TRUE,NA,NA,NA
10,20270816,"AR(1)","kfold",3,123,31,31,183,33,184,FALSE,TRUE,NA,NA,NA
10,20270816,"AR(1)","kfold",4,123,31,31,184,44,182,FALSE,TRUE,NA,NA,NA
10,20270816,"AR(1)","kfold",5,124,30,31,184,32,183,FALSE,TRUE,NA,NA,NA
10,20270816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
10,20270816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
10,20270816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
10,20270816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
10,20270816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
10,20270816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
10,20270816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
10,20270816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
10,20270816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
10,20270816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
10,20270816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","kfold",1,123,31,31,184,37,181,FALSE,TRUE,NA,NA,NA
11,20271816,"AR(1)","kfold",2,123,31,32,184,31,182,FALSE,TRUE,NA,NA,NA
11,20271816,"AR(1)","kfold",3,123,31,31,184,34,183,FALSE,TRUE,NA,NA,NA
11,20271816,"AR(1)","kfold",4,123,31,31,184,33,171,FALSE,TRUE,NA,NA,NA
11,20271816,"AR(1)","kfold",5,124,30,31,183,32,184,FALSE,TRUE,NA,NA,NA
11,20271816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
11,20271816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
11,20271816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
11,20271816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
11,20271816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
11,20271816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
11,20271816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
11,20271816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
11,20271816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
11,20271816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
11,20271816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","kfold",1,123,31,31,184,46,174,FALSE,TRUE,NA,NA,NA
12,20272816,"AR(1)","kfold",2,123,31,32,184,31,183,FALSE,TRUE,NA,NA,NA
12,20272816,"AR(1)","kfold",3,123,31,31,184,33,179,FALSE,TRUE,NA,NA,NA
12,20272816,"AR(1)","kfold",4,123,31,31,183,35,184,FALSE,TRUE,NA,NA,NA
12,20272816,"AR(1)","kfold",5,124,30,31,184,32,163,FALSE,TRUE,NA,NA,NA
12,20272816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
12,20272816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
12,20272816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
12,20272816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
12,20272816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
12,20272816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
12,20272816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
12,20272816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
12,20272816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
12,20272816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
12,20272816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","kfold",1,123,31,31,183,32,184,FALSE,TRUE,NA,NA,NA
13,20273816,"AR(1)","kfold",2,123,31,31,184,35,181,FALSE,TRUE,NA,NA,NA
13,20273816,"AR(1)","kfold",3,123,31,31,184,36,182,FALSE,TRUE,NA,NA,NA
13,20273816,"AR(1)","kfold",4,123,31,32,184,31,183,FALSE,TRUE,NA,NA,NA
13,20273816,"AR(1)","kfold",5,124,30,31,184,39,169,FALSE,TRUE,NA,NA,NA
13,20273816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
13,20273816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
13,20273816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
13,20273816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
13,20273816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
13,20273816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
13,20273816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
13,20273816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
13,20273816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
13,20273816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
13,20273816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
14,20274816,"AR(1)","kfold",1,123,31,31,184,38,176,FALSE,TRUE,NA,NA,NA
14,20274816,"AR(1)","kfold",2,123,31,31,184,40,179,FALSE,TRUE,NA,NA,NA
14,20274816,"AR(1)","kfold",3,123,31,32,184,31,183,FALSE,TRUE,NA,NA,NA
14,20274816,"AR(1)","kfold",4,123,31,31,184,32,180,FALSE,TRUE,NA,NA,NA
14,20274816,"AR(1)","kfold",5,124,30,31,183,33,184,FALSE,TRUE,NA,NA,NA
14,20274816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
14,20274816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
14,20274816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
14,20274816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
14,20274816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
14,20274816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
14,20274816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
14,20274816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
14,20274816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
14,20274816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
14,20274816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
