"term","coefficient"
"lag_1",0.841850845713597
"lag_2",-0.157625214420701
"lag_18",-0.00259254071642542
"lag_19",-0.00788481839846273
"lag_20",-0.0392774131222575
"lag_24",-0.0254151925351383
"lag_30",-0.0889818836698799
