"sim_id","dgp","cv_method","selected_model","cv_error","test_error","bias"
1,"AR(1)","kfold","LM-lag1",0.928727896615854,1.05520121686994,-0.126473320254087
1,"AR(1)","loocv","LM-lag1",0.930291824702127,1.05520121686994,-0.124909392167814
1,"AR(1)","rolling_origin","LM-lag5",1.22217289769377,1.05633342974815,0.165839467945626
1,"AR(1)","blocked","LM-lag1",0.926140744846335,1.05520121686994,-0.129060472023606
1,"AR(1)","hblock","LM-lag1",0.929164993158147,1.05520121686994,-0.126036223711794
2,"AR(1)","kfold","LM-lag1",1.10224905349446,1.02846347364251,0.0737855798519509
2,"AR(1)","loocv","LM-lag1",1.10754324219429,1.02846347364251,0.0790797685517795
2,"AR(1)","rolling_origin","LM-lag1",1.10001437012181,1.02846347364251,0.0715508964793035
2,"AR(1)","blocked","LM-lag1",1.09995932879708,1.02846347364251,0.0714958551545659
2,"AR(1)","hblock","LM-lag1",1.10529470035021,1.02846347364251,0.0768312267076987
3,"AR(1)","kfold","LM-lag1",0.964407065596437,1.10806903822947,-0.143661972633033
3,"AR(1)","loocv","LM-lag1",0.96126386575532,1.10806903822947,-0.146805172474149
3,"AR(1)","rolling_origin","LM-lag1",1.05091994194402,1.10806903822947,-0.0571490962854533
3,"AR(1)","blocked","LM-lag1",0.961096528330413,1.10806903822947,-0.146972509899057
3,"AR(1)","hblock","LM-lag1",0.96295661712594,1.10806903822947,-0.145112421103529
4,"AR(1)","kfold","LM-lag1",0.980760652311449,0.901630236909732,0.0791304154017165
4,"AR(1)","loocv","LM-lag1",0.978958453267173,0.901630236909732,0.0773282163574406
4,"AR(1)","rolling_origin","LM-lag1",1.00605301297819,0.901630236909732,0.104422776068459
4,"AR(1)","blocked","LM-lag5",0.98821092135849,0.936814415806042,0.0513965055524472
4,"AR(1)","hblock","LM-lag5",0.980548374635,0.936814415806042,0.0437339588289581
5,"AR(1)","kfold","LM-lag1",1.00195098117486,0.969131399434111,0.0328195817407531
5,"AR(1)","loocv","LM-lag1",1.00806978735557,0.969131399434111,0.0389383879214569
5,"AR(1)","rolling_origin","LM-lag1",0.688024312126241,0.969131399434111,-0.28110708730787
5,"AR(1)","blocked","LM-lag1",1.02331421772377,0.969131399434111,0.0541828182896584
5,"AR(1)","hblock","LM-lag1",1.01100302289023,0.969131399434111,0.0418716234561174
6,"AR(1)","kfold","LM-lag1",0.995340334073441,0.925137660829504,0.0702026732439369
6,"AR(1)","loocv","LM-lag1",0.997221016371238,0.925137660829504,0.0720833555417337
6,"AR(1)","rolling_origin","LM-lag1",0.779860032671189,0.925137660829504,-0.145277628158315
6,"AR(1)","blocked","LM-lag1",0.996202419764361,0.925137660829504,0.0710647589348561
6,"AR(1)","hblock","LM-lag1",0.995872509732254,0.925137660829504,0.0707348489027495
7,"AR(1)","kfold","LM-lag1",0.927506064352326,1.0135360340172,-0.0860299696648762
7,"AR(1)","loocv","LM-lag1",0.928218453994564,1.0135360340172,-0.085317580022638
7,"AR(1)","rolling_origin","LM-lag1",1.05392635732035,1.0135360340172,0.04039032330315
7,"AR(1)","blocked","LM-lag1",0.929686297346063,1.0135360340172,-0.0838497366711388
7,"AR(1)","hblock","LM-lag1",0.927749546397439,1.0135360340172,-0.0857864876197627
8,"AR(1)","kfold","LM-lag1",1.08342229265386,0.891841072112968,0.191581220540893
8,"AR(1)","loocv","LM-lag1",1.07751730339774,0.891841072112968,0.185676231284776
8,"AR(1)","rolling_origin","LM-lag5",0.754638978891039,0.905363099042489,-0.15072412015145
8,"AR(1)","blocked","LM-lag1",1.07360249992463,0.891841072112968,0.181761427811662
8,"AR(1)","hblock","LM-lag1",1.08179926048529,0.891841072112968,0.189958188372323
9,"AR(1)","kfold","LM-lag1",0.973523601059433,0.991682957079118,-0.018159356019685
9,"AR(1)","loocv","LM-lag1",0.977852724912751,0.991682957079118,-0.0138302321663674
9,"AR(1)","rolling_origin","LM-lag5",0.917911187601989,1.0207642182176,-0.102853030615616
9,"AR(1)","blocked","LM-lag1",0.97960530225393,0.991682957079118,-0.0120776548251884
9,"AR(1)","hblock","LM-lag1",0.97292990277367,0.991682957079118,-0.0187530543054477
10,"AR(1)","kfold","LM-lag1",0.961369819857218,0.921753477974477,0.0396163418827414
10,"AR(1)","loocv","LM-lag1",0.970003782565109,0.921753477974477,0.0482503045906321
10,"AR(1)","rolling_origin","LM-lag5",1.06273643362594,0.92236132606323,0.14037510756271
10,"AR(1)","blocked","LM-lag1",0.975440152362788,0.921753477974477,0.0536866743883115
10,"AR(1)","hblock","LM-lag1",0.970928990965742,0.921753477974477,0.0491755129912653
11,"AR(1)","kfold","LM-lag1",0.947785692071896,0.993107885631618,-0.0453221935597226
11,"AR(1)","loocv","LM-lag1",0.945419684742441,0.993107885631618,-0.0476882008891769
11,"AR(1)","rolling_origin","LM-lag5",0.745272999730639,0.984561875846793,-0.239288876116153
11,"AR(1)","blocked","LM-lag1",0.962018057540633,0.993107885631618,-0.0310898280909858
11,"AR(1)","hblock","LM-lag1",0.949453516936574,0.993107885631618,-0.0436543686950447
12,"AR(1)","kfold","LM-lag1",0.903078295265649,0.995040867059769,-0.0919625717941198
12,"AR(1)","loocv","LM-lag1",0.910029894654742,0.995040867059769,-0.0850109724050271
12,"AR(1)","rolling_origin","LM-lag1",1.01121299288594,0.995040867059769,0.0161721258261743
12,"AR(1)","blocked","LM-lag1",0.90902089934846,0.995040867059769,-0.0860199677113096
12,"AR(1)","hblock","LM-lag1",0.90860517080686,0.995040867059769,-0.0864356962529094
13,"AR(1)","kfold","LM-lag1",1.04325189829925,0.944066426108799,0.0991854721904509
13,"AR(1)","loocv","LM-lag1",1.05554545993242,0.944066426108799,0.111479033823618
13,"AR(1)","rolling_origin","LM-lag5",1.2407630146758,0.966569648644057,0.274193366031747
13,"AR(1)","blocked","LM-lag1",1.05131233355458,0.944066426108799,0.107245907445784
13,"AR(1)","hblock","LM-lag1",1.0532515628335,0.944066426108799,0.109185136724701
