"sim_id","dgp","cv_method","selected_model","cv_error","test_error","bias"
1,"AR(1)","kfold","LM-lag1",0.928727896615854,1.05520121686994,-0.126473320254087
1,"AR(1)","rolling_origin","LM-lag5",1.22217289769377,1.05633342974815,0.165839467945626
2,"AR(1)","kfold","LM-lag1",1.10224905349446,1.02846347364251,0.0737855798519509
2,"AR(1)","rolling_origin","LM-lag1",1.10001437012181,1.02846347364251,0.0715508964793035
3,"AR(1)","kfold","LM-lag1",0.964407065596437,1.10806903822947,-0.143661972633033
3,"AR(1)","rolling_origin","LM-lag1",1.05091994194402,1.10806903822947,-0.0571490962854533
4,"AR(1)","kfold","LM-lag1",0.980760652311449,0.901630236909732,0.0791304154017165
4,"AR(1)","rolling_origin","LM-lag1",1.00605301297819,0.901630236909732,0.104422776068459
5,"AR(1)","kfold","LM-lag1",1.00195098117486,0.969131399434111,0.0328195817407531
5,"AR(1)","rolling_origin","LM-lag1",0.688024312126241,0.969131399434111,-0.28110708730787
6,"AR(1)","kfold","LM-lag1",0.995340334073441,0.925137660829504,0.0702026732439369
6,"AR(1)","rolling_origin","LM-lag1",0.779860032671189,0.925137660829504,-0.145277628158315
7,"AR(1)","kfold","LM-lag1",0.927506064352326,1.0135360340172,-0.0860299696648762
7,"AR(1)","rolling_origin","LM-lag1",1.05392635732035,1.0135360340172,0.04039032330315
8,"AR(1)","kfold","LM-lag1",1.08342229265386,0.891841072112968,0.191581220540893
8,"AR(1)","rolling_origin","LM-lag5",0.754638978891039,0.905363099042489,-0.15072412015145
9,"AR(1)","kfold","LM-lag1",0.973523601059433,0.991682957079118,-0.018159356019685
9,"AR(1)","rolling_origin","LM-lag5",0.917911187601989,1.0207642182176,-0.102853030615616
10,"AR(1)","kfold","LM-lag1",0.961369819857218,0.921753477974477,0.0396163418827414
10,"AR(1)","rolling_origin","LM-lag5",1.06273643362594,0.92236132606323,0.14037510756271
11,"AR(1)","kfold","LM-lag1",0.947785692071896,0.993107885631618,-0.0453221935597226
11,"AR(1)","rolling_origin","LM-lag5",0.745272999730639,0.984561875846793,-0.239288876116153
12,"AR(1)","kfold","LM-lag1",0.903078295265649,0.995040867059769,-0.0919625717941198
12,"AR(1)","rolling_origin","LM-lag1",1.01121299288594,0.995040867059769,0.0161721258261743
13,"AR(1)","kfold","LM-lag1",1.04325189829925,0.944066426108799,0.0991854721904509
13,"AR(1)","rolling_origin","LM-lag5",1.2407630146758,0.966569648644057,0.274193366031747
14,"AR(1)","kfold","LM-lag1",0.935871401599922,1.05414535209525,-0.11827395049533
14,"AR(1)","rolling_origin","LM-lag1",0.966654262857614,1.05414535209525,-0.0874910892376382
