"model","n_predictors","lambda_min","lambda_1se","cv_mse","test_mse","test_rmse","test_mae","cv_test_difference","runtime_seconds","n_test_predictions"
"naive_baseline",1,NA,NA,1.68868408303188,1.54280946495804,1.24209881449023,1.02823079303873,0.145874618073844,0.03,66
"ols_lag1",1,NA,NA,1.5135700003411,1.40480096063975,1.18524299645252,0.968668353348129,0.108769039701347,0.03,66
"ols_lag30",30,NA,NA,1.91115879267464,1.3758554647713,1.17296865464142,0.946817795268797,0.535303327903339,0.03,66
"ridge_lag30",30,0.151092649809582,0.609963634928368,1.96296573179349,1.42594584796841,1.19412974503125,0.964725560769409,0.537019883825082,0.04,66
"lasso_lag30",7,0.0844730325058164,0.542998829386123,1.55723210175366,1.31125032253339,1.14509838989206,0.928396514862283,0.245981779220273,0.02,66
